Time,INPUT PID,OUTPUT PID,ERROR,ERROR INTEGRAL,ERROR DERIVATIVO
164,10.001735,50.009972,-0.001735,-24.953270,0.000065
165,10.001673,50.009621,-0.001673,-24.954943,0.000063
166,10.001613,50.009258,-0.001613,-24.956554,0.000061
167,10.001554,50.008896,-0.001554,-24.958109,0.000059
168,10.001499,50.008602,-0.001499,-24.959608,0.000056
169,10.001446,50.008312,-0.001446,-24.961054,0.000054
170,10.001394,50.008030,-0.001394,-24.962448,0.000052
171,10.001345,50.007763,-0.001345,-24.963793,0.000050
172,10.001296,50.007446,-0.001296,-24.965088,0.000049
173,10.001249,50.007160,-0.001249,-24.966337,0.000047
174,10.001204,50.006893,-0.001204,-24.967541,0.000046
175,10.001162,50.006660,-0.001162,-24.968702,0.000044
176,10.001120,50.006397,-0.001120,-24.969822,0.000042
177,10.001080,50.006168,-0.001080,-24.970901,0.000041
178,10.001041,50.005981,-0.001041,-24.971943,0.000039
179,10.001004,50.005768,-0.001004,-24.972946,0.000038
180,10.000968,50.005543,-0.000968,-24.973915,0.000037
181,10.000934,50.005367,-0.000934,-24.974850,0.000035
182,10.000900,50.005177,-0.000900,-24.975750,0.000034
183,10.000868,50.004978,-0.000868,-24.976618,0.000033
184,10.000836,50.004772,-0.000836,-24.977455,0.000032
185,10.000807,50.004631,-0.000807,-24.978262,0.000030
186,10.000778,50.004482,-0.000778,-24.979040,0.000029
187,10.000751,50.004330,-0.000751,-24.979790,0.000028
188,10.000724,50.004189,-0.000724,-24.980515,0.000027
189,10.000698,50.004047,-0.000698,-24.981213,0.000026
190,10.000673,50.003918,-0.000673,-24.981886,0.000025
191,10.000649,50.003796,-0.000649,-24.982536,0.000024
192,10.000626,50.003620,-0.000626,-24.983162,0.000024
193,10.000603,50.003460,-0.000603,-24.983765,0.000023
194,10.000581,50.003311,-0.000581,-24.984344,0.000022
195,10.000560,50.003185,-0.000560,-24.984905,0.000021
196,10.000540,50.003071,-0.000540,-24.985445,0.000020
197,10.000521,50.002979,-0.000521,-24.985966,0.000019
198,10.000502,50.002842,-0.000502,-24.986467,0.000019
199,10.000484,50.002728,-0.000484,-24.986950,0.000018
200,10.000466,50.002636,-0.000466,-24.987415,0.000018
201,10.000450,50.002571,-0.000450,-24.987865,0.000017
202,10.000434,50.002472,-0.000434,-24.988300,0.000016
203,10.000419,50.002403,-0.000419,-24.988720,0.000016
204,10.000403,50.002300,-0.000403,-24.989124,0.000015
205,10.000389,50.002228,-0.000389,-24.989513,0.000015
206,10.000375,50.002117,-0.000375,-24.989887,0.000014
207,10.000361,50.002048,-0.000361,-24.990250,0.000014
208,10.000349,50.002014,-0.000349,-24.990599,0.000013
209,10.000337,50.001945,-0.000337,-24.990936,0.000013
210,10.000324,50.001850,-0.000324,-24.991261,0.000012
211,10.000313,50.001797,-0.000313,-24.991573,0.000012
212,10.000301,50.001717,-0.000301,-24.991875,0.000012
213,10.000291,50.001675,-0.000291,-24.992165,0.000011
214,10.000280,50.001606,-0.000280,-24.992445,0.000011
215,10.000270,50.001514,-0.000270,-24.992714,0.000011
216,10.000260,50.001469,-0.000260,-24.992973,0.000010
217,10.000251,50.001404,-0.000251,-24.993225,0.000010
218,10.000242,50.001381,-0.000242,-24.993467,0.000009
219,10.000234,50.001335,-0.000234,-24.993702,0.000009
220,10.000225,50.001270,-0.000225,-24.993927,0.000009
221,10.000217,50.001255,-0.000217,-24.994144,0.000008
222,10.000210,50.001221,-0.000210,-24.994354,0.000008
223,10.000202,50.001167,-0.000202,-24.994556,0.000008
224,10.000195,50.001099,-0.000195,-24.994751,0.000008
225,10.000188,50.001080,-0.000188,-24.994938,0.000007
226,10.000181,50.001041,-0.000181,-24.995119,0.000007
227,10.000175,50.000988,-0.000175,-24.995293,0.000007
228,10.000168,50.000923,-0.000168,-24.995461,0.000007
229,10.000162,50.000912,-0.000162,-24.995623,0.000006
230,10.000156,50.000885,-0.000156,-24.995779,0.000006
231,10.000151,50.000843,-0.000151,-24.995930,0.000006
232,10.000145,50.000790,-0.000145,-24.996075,0.000006
233,10.000140,50.000793,-0.000140,-24.996216,0.000005
234,10.000135,50.000778,-0.000135,-24.996351,0.000005
235,10.000131,50.000755,-0.000131,-24.996483,0.000005
236,10.000126,50.000721,-0.000126,-24.996609,0.000005
237,10.000121,50.000679,-0.000121,-24.996731,0.000005
238,10.000116,50.000626,-0.000116,-24.996847,0.000005
239,10.000113,50.000629,-0.000113,-24.996960,0.000004
240,10.000109,50.000622,-0.000109,-24.997068,0.000004
241,10.000105,50.000603,-0.000105,-24.997173,0.000004
